objectid,identifier,title,creator,collection,coverage,credit,date,description,dimensions,medium,rights,filename,format,latitude,longitude
0,brooklynmuseum-o766-mano-poderosa-the-all-powerful-hand-or,"Mano Poderosa (The All-Powerful Hand), or Las Cinco Personas (The Five Persons)",Mexican,brooklynmuseum,Mexico,"Museum Expedition 1944, Purchased with funds given by the estate of Warren S.M. Mead",19th century,"A lively tradition of provincial Mexican religious art has existed from the Spanish colonial period through the present day. The subject of this devotional image, rendered in the popular medium of painted tin, also appeared in more formal colonial Mexican altar paintings. Perched on the tips of the fingers of a detached hand, Christ appears flanked by his parents and his grandparents, Anna and Joachim. The symbol of the hand, deriving from the European cult of Saint Anne, also bears the wound of the stigmata in reference both to the Crucifixion and to the life of Saint Francis; the seven lambs, drinking here from the chalice of Christ's blood, derive from the Book of Revelations.<br /><p>Object metadata can change over time, please check the Brooklyn Museum <a href=""http://www.brooklynmuseum.org/opencollection/objects/766/Mano_Poderosa_The_All-Powerful_Hand_or_Las_Cinco_Personas_The_Five_Persons"" rel=""nofollow"">object record</a> for the latest information.</p>",13 7/8 x 10 1/16 in. (35.2 x 25.6 cm),Oil on metal (possibly tin-plated iron),"<a href=""http://www.brooklynmuseum.org/opencollection/objects/766/Mano_Poderosa_The_All-Powerful_Hand_or_Las_Cinco_Personas_The_Five_Persons?reveal_elements=rights-statement#rights-statement"" rel=""nofollow"">No known copyright restrictions</a>",brooklynmuseum-o766i000-44.195.24_SL1.jpg,imagen/jpeg,43.43275703477590,-73.7019860472376
1,brooklynmuseum-o1138-the-last-days-of-pompeii,The Last Days of Pompeii,James Hamilton,brooklynmuseum,,Dick S. Ramsay Fund,1864,"<p>Object metadata can change over time, please check the Brooklyn Museum <a href=""http://www.brooklynmuseum.org/opencollection/objects/1138/The_Last_Days_of_Pompeii"" rel=""nofollow"">object record</a> for the latest information.</p>",59 15/16 x 48 1/16 in. (152.2 x 122 cm); Frame: 69 1/2 x 57 1/2 x 4 in. (176.5 x 146.1 x 10.2 cm),Oil on canvas,"<a href=""http://www.brooklynmuseum.org/opencollection/objects/1138/The_Last_Days_of_Pompeii?reveal_elements=rights-statement#rights-statement"" rel=""nofollow"">No known copyright restrictions</a>",brooklynmuseum-o1138i001-55.138_bw.jpg,imagen/jpeg,55.58967359,-3.768112478
2,brooklynmuseum-as69-beach-haven-the-great-seashore,Beach Haven: the great seashore opportunity. Views of Beach Haven.,"Beach Haven Realty Company, Beach Haven, N. J.",brooklynmuseum,,,,"Beach Haven: the great seashore opportunity. Views of Beach Haven. v. : all ill., photographs ; 20 x 28 cm.<p>Library record metadata can change over time, please check the Brooklyn Museum <a href=""http://www.brooklynmuseum.org/opencollection/archives/set/69/beach_haven_the_great_seashore_opportunity._views_of_beach_haven."" rel=""nofollow"">library record</a> for the latest information.</p>",,,"<a href=""http://www.brooklynmuseum.org/opencollection/archives/set/69/beach_haven_the_great_seashore_opportunity._views_of_beach_haven.?reveal_elements=rights-statement#rights-statement"" rel=""nofollow"">No known copyright restrictions</a>",brooklynmuseum-as69i035-F142_O2_B35_Beachhaven_036.jpg,imagen/jpeg,42.36385222,-71.05937321
3,brooklynmuseum-o2300-mayta-capac-fourth-inca-1-of-14,"Mayta Capac, Fourth Inca, 1 of 14 Portraits of Inca Kings",,brooklynmuseum,Peru,"Dick S. Ramsay Fund, Mary Smith Dorward Fund, Marie Bernice Bitzer Fund, Frank L. Babbott Fund; Gift of The Roebling Society and the American Art Council; purchased with funds given by an anonymous donor, Maureen and Marshall Cogan, Karen B. Cohen, Georgia and Michael deHavenon, Harry Kahn, Alastair B. Martin, Ted and Connie Roosevelt, Frieda and Milton F. Rosenthal, Sol Schreiber in memory of Ann Schreiber, Joanne Witty and Eugene Keilin, Thomas L. Pulling, Roy J. Zuckerberg, Kitty and Herbert Glantz, Ellen and Leonard L. Milberg, Paul and Thérèse Bernbach, Emma and J. A. Lewis, Florence R. Kingdon",mid 18th century,"<p>Object metadata can change over time, please check the Brooklyn Museum <a href=""http://www.brooklynmuseum.org/opencollection/objects/2300/Mayta_Capac_Fourth_Inca_1_of_14_Portraits_of_Inca_Kings"" rel=""nofollow"">object record</a> for the latest information.</p>",23 1/2 x 21 1/2 in. (59.7 x 54.6cm),Oil on canvas,"<a href=""http://www.brooklynmuseum.org/opencollection/objects/2300/Mayta_Capac_Fourth_Inca_1_of_14_Portraits_of_Inca_Kings?reveal_elements=rights-statement#rights-statement"" rel=""nofollow"">No known copyright restrictions</a>",brooklynmuseum-o2300i000-1995.29.4_SL1.jpg,imagen/jpeg,48.85698606,2.351151968
4,brooklynmuseum-o48101-sketch,Sketch,Kawanabe Kyosai,brooklynmuseum,,By exchange and Designated Purchase Fund,19th century,"<p>Object metadata can change over time, please check the Brooklyn Museum <a href=""http://www.brooklynmuseum.org/opencollection/objects/48101/Sketch"" rel=""nofollow"">object record</a> for the latest information.</p>",Sheet: 17 13/16 x 13 9/16 in. (45.2 x 34.5 cm); Image: 14 1/8 x 9 15/16 in. (35.9 x 25.3 cm),"Ink, paper","<a href=""http://www.brooklynmuseum.org/opencollection/objects/48101/Sketch?reveal_elements=rights-statement#rights-statement"" rel=""nofollow"">No known copyright restrictions</a>",brooklynmuseum-o48101i000-37.532_IMLS_SL2.jpg,imagen/jpeg,,
5,brooklynmuseum-o4368-the-great-red-dragon-and-the-woman,The Great Red Dragon and the Woman Clothed with the Sun (Rev. 12: 1-4),William Blake,brooklynmuseum,England,Gift of William Augustus White,ca. 1803-1805,"The poet, printmaker, and painter William Blake combined his literary and graphic skills in four provocative and disturbing images devoted to the Great Red Dragon. For this series—produced for his most faithful patron Thomas Butts, a government clerk—Blake drew on chapters 12 and 13 of the Book of Revelations, an apocalyptic text akin to the artist's own prophetic writings.<br /><br /><br /><br />In this narrative the Dragon, identified with Satan, schemes to seize the soon-to-be born Redeemer from his mother. Derived from the Virgin Mary of the Gospels, the figure known as the Woman Clothed with the Sun also stands for Israel and for the Church. Blake's threatening Dragon displays powerful musculature as well as its monstrous tail, wings, and horned heads. Subsequent scenes reveal the failure of the Dragon's plan but the emergence of new threats to mankind.<br /><p>Object metadata can change over time, please check the Brooklyn Museum <a href=""http://www.brooklynmuseum.org/opencollection/objects/4368/The_Great_Red_Dragon_and_the_Woman_Clothed_with_the_Sun_Rev._12%3A_1-4"" rel=""nofollow"">object record</a> for the latest information.</p>",Image: 17 3/16 x 13 11/16 in. (43.7 x 34.8 cm); Sheet (with inlay): 21 11/16 x 17 1/16 in. (55.1 x 43.3 cm),Black ink and watercolor over traces of graphite and incised lines,"<a href=""http://www.brooklynmuseum.org/opencollection/objects/4368/The_Great_Red_Dragon_and_the_Woman_Clothed_with_the_Sun_Rev._12%3A_1-4?reveal_elements=rights-statement#rights-statement"" rel=""nofollow"">No known copyright restrictions</a>",brooklynmuseum-o4368i000-15.368_large_SL1.jpg,imagen/jpeg,,
6,brooklynmuseum-o1555-lake-george,Lake George,John William Casilear,brooklynmuseum,,Gift of The Roebling Society and Dick S. Ramsay Fund,1857,"<p>One of the chain of lakes forming the eastern boundary of New York State's Adirondack Mountains, Lake George rapidly became a national symbol of the scenic grandeur of the United States and a favorite resort for landscape painters at midcentury. John William Casilear's quietly luminous painting depicts the view from the southern of head end of the lake looking toward the Tongue Mountain range, which forms the western entrance to the Narrows. At the far right is  a hotel, indicating the early popularity of Lake George as a tourist destination.</p><p>Object metadata can change over time, please check the Brooklyn Museum <a href=""http://www.brooklynmuseum.org/opencollection/objects/1555/Lake_George"" rel=""nofollow"">object record</a> for the latest information.</p>",37 5/8 x 60 in. (95.5 x 152.4 cm),Oil on canvas,"<a href=""http://www.brooklynmuseum.org/opencollection/objects/1555/Lake_George?reveal_elements=rights-statement#rights-statement"" rel=""nofollow"">No known copyright restrictions</a>",brooklynmuseum-o1555i000-76.56_reference_SL1.jpg,imagen/jpeg,,
7,brooklynmuseum-o11643-a-chinese-sage,A Chinese Sage,Tachibana Morikuni,brooklynmuseum,,Museum Collection Fund,17th century,"<p>Object metadata can change over time, please check the Brooklyn Museum <a href=""http://www.brooklynmuseum.org/opencollection/objects/11643/A_Chinese_Sage"" rel=""nofollow"">object record</a> for the latest information.</p>",10 1/8 x 6 9/16 in. (25.7 x 16.7 cm),Black and white (sheet),"<a href=""http://www.brooklynmuseum.org/opencollection/objects/11643/A_Chinese_Sage?reveal_elements=rights-statement#rights-statement"" rel=""nofollow"">No known copyright restrictions</a>",brooklynmuseum-o11643i001-20.937_bw_IMLS.jpg,imagen/jpeg,,
8,brooklynmuseum-o4711-madonna-with-saints-and-scenes,"Madonna with Saints and Scenes of the Life of Christ, portable altarpiece",Maso di Banco,brooklynmuseum,Italy,"Gift of Mary Babbott Ladd, Lydia Babbott Stokes, and Frank L. Babbott, Jr. in memory of their father Frank L. Babbott",ca. 1336,"Maso was one of the most gifted pupils and associates of Giotto (1267–1337). This triptych, intended for private devotion, is the only complete work of this size that can be attributed with certainty to his hand. Even at this scale, the figures have a Giottesque magnitude and solidity. Maso surrounds the central Madonna, enlarged and enthroned to emphasize her majesty, with a choir of twenty saints, whose number is implied by the neatly overlapping, tooled halos. This approach to representing depth, before the invention of perspective, reveals a simultaneous sophistication and naïveté. In a series of separate scenes, stacked one above the other on the wings of the triptych, the pictorial program recounts episodes of the Life of Christ, from the Annunciation to the Crucifixion.<br /><p>Object metadata can change over time, please check the Brooklyn Museum <a href=""http://www.brooklynmuseum.org/opencollection/objects/4711/Madonna_with_Saints_and_Scenes_of_the_Life_of_Christ_portable_altarpiece"" rel=""nofollow"">object record</a> for the latest information.</p>",Center panel: 30 1/8 x 11 3/4 in. (76.5 x 29.8 cm); Wings: 17 3/4 x 5 1/8 in. (45.1 x 13 cm),Tempera and tooled gold on poplar panel in original engaged frame,"<a href=""http://www.brooklynmuseum.org/opencollection/objects/4711/Madonna_with_Saints_and_Scenes_of_the_Life_of_Christ_portable_altarpiece?reveal_elements=rights-statement#rights-statement"" rel=""nofollow"">No known copyright restrictions</a>",brooklynmuseum-o4711i000-34.838.jpg,imagen/jpeg,,
9,brooklynmuseum-o4900-bahram-gur-at-the-home-of-baraham,"""Bahram Gur at the Home of Baraham the Jew,"" Page from an Illustrated Manuscript of the Second Small Shahnama of Firdawsi (d. 1020)",,brooklynmuseum,"Baghdad, Iraq","Gift of the Ernest Erickson Foundation, Inc.",ca. 1300,"The <i>Shahnama </i>(Book of Kings) is the Iranian national epic, stemming from oral tradition and put to verse circa 1000 by the poet Abu'l Qasim Firdawsi of Tus. It describes the legendary lives of the kings of Iran from creation to the Arab conquest of the country between the 630s and the 650s. Over the centuries that followed its composition, the tales of the <i>Shahnama </i>had become widely popular; by the early fourteenth century, <i>Shahnama </i>manuscripts had become one of the principal vehicles for Persian painting. This illustrated page belongs to one of the earliest surviving illustrated <i>Shahnamas</i>. It depicts an episode in the princely cycle related to the Sasanian monarch Bahram Gur.<br /><br />Traveling incognito to a village to investigate reports of the stinginess of a villager named Baraham, Bahram Gur asks for a night's lodging in the man's home. After much hesitation, Baraham allows the disguised king to spend the night in his courtyard, on the condition that he pay for any damage he may inflict and that he clean up after his horse. Bahram and his horse spend the night outdoors while his host enjoys a sumptuous feast inside. In this illustration, Bahram Gur is shown sweeping up horse manure after a night of hunger and cold.<br /><p>Object metadata can change over time, please check the Brooklyn Museum <a href=""http://www.brooklynmuseum.org/opencollection/objects/4900/Bahram_Gur_at_the_Home_of_Baraham_the_Jew_Page_from_an_Illustrated_Manuscript_of_the_Second_Small_Shahnama_of_Firdawsi_d._1020"" rel=""nofollow"">object record</a> for the latest information.</p>",6 5/8 x 5 1/4 in. (16.8 x 13.3 cm),"Ink, opaque watercolor, and gold on paper","<a href=""http://www.brooklynmuseum.org/opencollection/objects/4900/Bahram_Gur_at_the_Home_of_Baraham_the_Jew_Page_from_an_Illustrated_Manuscript_of_the_Second_Small_Shahnama_of_Firdawsi_d._1020?reveal_elements=rights-statement#rights-statement"" rel=""nofollow"">No known copyright restrictions</a>",brooklynmuseum-o4900i000-86.227.130.1a-b_verso_IMLS_PS3.jpg,imagen/jpeg,,
